[INFO] Scanning for projects...
[INFO] 
[INFO] -------------------< com.example:lunar-flyby-orekit >-------------------
[INFO] Building lunar-flyby-orekit 1.0-SNAPSHOT
[INFO]   from pom.xml
[INFO] --------------------------------[ jar ]---------------------------------
[INFO] 
[INFO] --- exec:3.2.0:java (default-cli) @ lunar-flyby-orekit ---
Orekit inicializado correctamente.
========================================
      LUNAR FLYBY SIMULATOR
========================================

Simulación iniciada.

Tiempo: 1700 s | X: -2698.58 km | Y: 5393.63 km | Z: 2928.50 km | Velocidad: 7.70 km/s | Tierra: 6704.45 km
Tiempo: 1710 s | X: -2769.13 km | Y: 5366.62 km | Z: 2913.84 km | Velocidad: 7.69 km/s | Tierra: 6705.16 km
Tiempo: 1720 s | X: -2839.31 km | Y: 5338.91 km | Z: 2898.79 km | Velocidad: 7.69 km/s | Tierra: 6705.86 km
Tiempo: 1730 s | X: -2909.11 km | Y: 5310.49 km | Z: 2883.36 km | Velocidad: 7.69 km/s | Tierra: 6706.56 km
Tiempo: 1740 s | X: -2978.53 km | Y: 5281.36 km | Z: 2867.55 km | Velocidad: 7.69 km/s | Tierra: 6707.25 km
Tiempo: 1750 s | X: -3047.56 km | Y: 5251.54 km | Z: 2851.35 km | Velocidad: 7.69 km/s | Tierra: 6707.94 km
Tiempo: 1760 s | X: -3116.18 km | Y: 5221.03 km | Z: 2834.79 km | Velocidad: 7.69 km/s | Tierra: 6708.63 km
Tiempo: 1770 s | X: -3184.40 km | Y: 5189.82 km | Z: 2817.84 km | Velocidad: 7.69 km/s | Tierra: 6709.31 km
Tiempo: 1780 s | X: -3252.19 km | Y: 5157.93 km | Z: 2800.53 km | Velocidad: 7.69 km/s | Tierra: 6709.99 km
Tiempo: 1790 s | X: -3319.56 km | Y: 5125.36 km | Z: 2782.85 km | Velocidad: 7.69 km/s | Tierra: 6710.66 km
Tiempo: 1800 s | X: -3386.48 km | Y: 5092.12 km | Z: 2764.79 km | Velocidad: 7.69 km/s | Tierra: 6711.33 km
